,iyear,imonth,iday,provstate,attacktype1_txt,targtype1_txt,weaptype1_txt,nwound,nkill
69445,1999,9,25,Bihar,Armed Assault,Violent Political Party,Firearms,0.0,4.0
69448,1999,9,26,Jammu and Kashmir,Assassination,Government (General),Explosives,8.0,0.0
69449,1999,9,26,Tripura,Armed Assault,Military,Firearms,0.0,8.0
69459,1999,9,29,Jammu and Kashmir,Armed Assault,Government (General),Explosives,5.0,1.0
69473,1999,10,2,Assam,Bombing/Explosion,Military,Explosives,0.0,5.0
69474,1999,10,2,West Bengal,Bombing/Explosion,Government (General),Explosives,2.0,0.0
69475,1999,10,2,Assam,Bombing/Explosion,Police,Explosives,4.0,8.0
69476,1999,10,2,Assam,Facility/Infrastructure Attack,Government (General),Unknown,0.0,0.0
69477,1999,10,2,Manipur,Unknown,Military,Unknown,2.0,2.0
69484,1999,10,2,Assam,Assassination,Government (General),Firearms,0.0,1.0
69485,1999,10,2,Assam,Bombing/Explosion,Police,Explosives,,
69486,1999,10,2,Assam,Bombing/Explosion,Police,Explosives,9.0,0.0
69487,1999,10,3,Assam,Armed Assault,Government (General),Firearms,3.0,5.0
69488,1999,10,3,Tripura,Armed Assault,Military,Firearms,0.0,7.0
69490,1999,10,3,Manipur,Armed Assault,Government (General),Firearms,5.0,16.0
69517,1999,10,7,Jammu and Kashmir,Bombing/Explosion,Transportation,Explosives,0.0,0.0
69586,1999,10,23,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,20.0,0.0
69638,1999,11,3,Jammu and Kashmir,Armed Assault,Military,Firearms,2.0,8.0
69681,1999,11,11,Himachal Pradesh,Bombing/Explosion,Transportation,Explosives,100.0,11.0
69699,1999,11,13,Himachal Pradesh,Bombing/Explosion,Transportation,Explosives,51.0,12.0
69709,1999,11,14,Maharashtra,Armed Assault,Private Citizens & Property,Firearms,11.0,17.0
69720,1999,11,18,Jharkhand,Armed Assault,Terrorists/Non-State Militia,Melee,0.0,12.0
69732,1999,11,22,Tripura,Armed Assault,Police,Firearms,5.0,8.0
69735,1999,11,23,Jammu and Kashmir,Bombing/Explosion,Government (General),Explosives,10.0,0.0
69745,1999,11,25,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,3.0,3.0
69754,1999,11,27,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,2.0,0.0
69760,1999,11,27,Jammu and Kashmir,Armed Assault,Government (General),Firearms,2.0,3.0
69765,1999,11,29,Nagaland,Assassination,Government (General),Firearms,0.0,2.0
69773,1999,12,6,West Bengal,Armed Assault,Private Citizens & Property,Firearms,4.0,2.0
69780,1999,12,8,Tripura,Armed Assault,Private Citizens & Property,Firearms,9.0,5.0
69786,1999,12,12,Andhra Pradesh,Bombing/Explosion,Transportation,Explosives,0.0,0.0
69792,1999,12,15,Gujarat,Bombing/Explosion,Police,Explosives,0.0,1.0
69793,1999,12,15,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,0.0,1.0
69795,1999,12,16,Andhra Pradesh,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,5.0
69808,1999,12,20,Andhra Pradesh,Bombing/Explosion,Government (General),Explosives,0.0,0.0
69810,1999,12,22,Jammu and Kashmir,Bombing/Explosion,Government (General),Explosives,10.0,0.0
69824,1999,12,28,Jammu and Kashmir,Bombing/Explosion,Transportation,Explosives,3.0,1.0
69825,1999,12,29,Jammu and Kashmir,Armed Assault,Police,Explosives,0.0,0.0
69834,2000,1,1,Jammu and Kashmir,Armed Assault,Police,Firearms,2.0,1.0
69838,2000,1,1,Assam,Bombing/Explosion,Utilities,Explosives,0.0,0.0
69866,2000,1,3,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,30.0,18.0
69886,2000,1,6,Delhi,Bombing/Explosion,Transportation,Explosives,23.0,0.0
69887,2000,1,7,Andhra Pradesh,Bombing/Explosion,Government (General),Explosives,0.0,0.0
69909,2000,1,11,Andhra Pradesh,Bombing/Explosion,Police,Explosives,2.0,2.0
69915,2000,1,12,Jammu and Kashmir,Armed Assault,Military,Firearms,,20.0
69941,2000,1,16,Jammu and Kashmir,Bombing/Explosion,Utilities,Explosives,0.0,0.0
69943,2000,1,16,Tripura,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,0.0,0.0
69956,2000,1,19,Assam,Bombing/Explosion,Transportation,Explosives,0.0,0.0
69970,2000,1,24,Jammu and Kashmir,Armed Assault,Military,Explosives,6.0,4.0
69979,2000,1,26,Jammu and Kashmir,Assassination,Government (General),Explosives,1.0,0.0
69988,2000,1,27,Jammu and Kashmir,Bombing/Explosion,Government (General),Explosives,0.0,0.0
69993,2000,1,28,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
70016,2000,1,31,Tripura,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,0.0,0.0
70017,2000,1,31,Tripura,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,2.0,0.0
70020,2000,1,31,Tripura,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,0.0,0.0
70037,2000,2,8,Jammu and Kashmir,Armed Assault,Military,Firearms,,4.0
70042,2000,2,10,West Bengal,Bombing/Explosion,Transportation,Explosives,4.0,2.0
70044,2000,2,10,Jammu and Kashmir,Armed Assault,Police,Firearms,0.0,6.0
70060,2000,2,17,Jammu and Kashmir,Assassination,Military,Explosives,2.0,2.0
70064,2000,2,18,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,6.0,10.0
70065,2000,2,18,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,7.0,0.0
70067,2000,2,18,Andhra Pradesh,Armed Assault,Police,Explosives,0.0,8.0
70072,2000,2,20,Madhya Pradesh,Bombing/Explosion,Police,Explosives,,22.0
70077,2000,2,20,Bihar,Unarmed Assault,Government (General),Melee,2.0,0.0
70080,2000,2,20,Tripura,Bombing/Explosion,Private Citizens & Property,Incendiary,15.0,2.0
70095,2000,2,22,Bihar,Armed Assault,Military,Firearms,7.0,3.0
70122,2000,2,27,Delhi,Bombing/Explosion,Private Citizens & Property,Explosives,8.0,0.0
70124,2000,2,27,Uttaranchal,Bombing/Explosion,Government (General),Explosives,0.0,5.0
70143,2000,3,3,Punjab,Bombing/Explosion,Private Citizens & Property,Explosives,4.0,8.0
70145,2000,3,4,Bihar,Assassination,Military,Firearms,14.0,13.0
70146,2000,3,4,Bihar,Armed Assault,Private Citizens & Property,Firearms,0.0,5.0
70153,2000,3,5,Jammu and Kashmir,Armed Assault,Military,Firearms,4.0,12.0
70158,2000,3,7,Andhra Pradesh,Assassination,Government (General),Explosives,0.0,3.0
70159,2000,3,7,Assam,Armed Assault,Police,Firearms,,8.0
70167,2000,3,11,Bihar,Bombing/Explosion,Military,Explosives,0.0,9.0
70179,2000,3,14,Jammu and Kashmir,Armed Assault,Military,Firearms,0.0,2.0
70188,2000,3,16,Delhi,Bombing/Explosion,Private Citizens & Property,Explosives,7.0,0.0
70193,2000,3,18,Jammu and Kashmir,Bombing/Explosion,Journalists & Media,Explosives,0.0,0.0
70199,2000,3,21,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,1.0,35.0
70200,2000,3,0,Tamil Nadu,Bombing/Explosion,Transportation,Explosives,,
70210,2000,3,24,Punjab,Armed Assault,Private Citizens & Property,Firearms,3.0,5.0
70253,2000,4,5,Andhra Pradesh,Bombing/Explosion,Government (General),Explosives,2.0,0.0
70264,2000,4,9,Tripura,Hostage Taking (Kidnapping),Government (General),Unknown,0.0,0.0
70265,2000,4,9,Tripura,Hostage Taking (Kidnapping),Government (General),Unknown,0.0,0.0
70266,2000,4,9,Tripura,Hostage Taking (Kidnapping),Government (General),Unknown,0.0,0.0
70267,2000,4,9,Tripura,Hostage Taking (Kidnapping),Government (General),Unknown,0.0,0.0
70268,2000,4,9,Tripura,Hostage Taking (Kidnapping),Government (General),Firearms,0.0,0.0
70270,2000,4,9,Tripura,Hostage Taking (Kidnapping),Government (General),Unknown,0.0,0.0
70280,2000,4,12,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,1.0,0.0
70296,2000,4,15,Jammu and Kashmir,Bombing/Explosion,Journalists & Media,Explosives,0.0,0.0
70301,2000,4,18,Tripura,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,1.0,
70303,2000,4,19,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,7.0,1.0
70304,2000,4,19,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,28.0,2.0
70305,2000,4,19,Tripura,Armed Assault,Private Citizens & Property,Firearms,1.0,8.0
70310,2000,4,24,Assam,Armed Assault,Private Citizens & Property,Firearms,12.0,5.0
70322,2000,4,26,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
70324,2000,4,28,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,6.0,1.0
70325,2000,4,28,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,2.0,0.0
70342,2000,5,1,Tripura,Armed Assault,Private Citizens & Property,Firearms,0.0,2.0
70361,2000,5,7,Jammu and Kashmir,Bombing/Explosion,Government (General),Explosives,0.0,0.0
70366,2000,5,8,Maharashtra,Facility/Infrastructure Attack,Religious Figures/Institutions,Sabotage Equipment,2.0,0.0
70384,2000,5,15,Jammu and Kashmir,Assassination,Government (General),Explosives,2.0,5.0
70386,2000,5,15,Jammu and Kashmir,Assassination,Government (General),Explosives,2.0,5.0
70401,2000,5,19,Jammu and Kashmir,Bombing/Explosion,Government (General),Explosives,6.0,0.0
70414,2000,5,21,Andhra Pradesh,Bombing/Explosion,Religious Figures/Institutions,Explosives,22.0,0.0
70415,2000,5,21,Tripura,Armed Assault,Private Citizens & Property,Firearms,,25.0
70416,2000,5,20,Manipur,Bombing/Explosion,Government (General),Explosives,0.0,0.0
70417,2000,5,22,Jammu and Kashmir,Bombing/Explosion,Government (General),Explosives,3.0,1.0
70444,2000,5,28,Jammu and Kashmir,Bombing/Explosion,Tourists,Explosives,12.0,2.0
70453,2000,5,29,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,8.0,0.0
70455,2000,5,29,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,4.0,0.0
70468,2000,6,2,Jammu and Kashmir,Assassination,Government (General),Explosives,6.0,11.0
70485,2000,6,3,Assam,Bombing/Explosion,Military,Explosives,5.0,2.0
70491,2000,6,4,Jammu and Kashmir,Armed Assault,Police,Firearms,0.0,2.0
70492,2000,6,4,Jammu and Kashmir,Armed Assault,Police,Firearms,1.0,1.0
70493,2000,6,4,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,0.0,3.0
70522,2000,6,7,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,0.0,0.0
70529,2000,6,8,Goa,Bombing/Explosion,Religious Figures/Institutions,Explosives,0.0,0.0
70530,2000,6,8,Andhra Pradesh,Bombing/Explosion,Religious Figures/Institutions,Explosives,0.0,0.0
70531,2000,6,8,Andhra Pradesh,Bombing/Explosion,Religious Figures/Institutions,Explosives,1.0,0.0
70532,2000,6,8,Karnataka,Bombing/Explosion,Religious Figures/Institutions,Explosives,1.0,0.0
70552,2000,6,11,Punjab,Armed Assault,Religious Figures/Institutions,Melee,0.0,1.0
70558,2000,6,12,Bihar,Armed Assault,Private Citizens & Property,Firearms,3.0,12.0
70562,2000,6,13,Jammu and Kashmir,Assassination,Government (General),Firearms,0.0,2.0
70606,2000,6,25,Manipur,Armed Assault,Private Citizens & Property,Firearms,2.0,9.0
70610,2000,6,25,Andhra Pradesh,Bombing/Explosion,Religious Figures/Institutions,Explosives,1.0,0.0
70623,2000,6,28,Jammu and Kashmir,Bombing/Explosion,Government (General),Explosives,4.0,0.0
70646,2000,7,2,Tripura,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,0.0,0.0
70663,2000,7,8,Karnataka,Bombing/Explosion,Religious Figures/Institutions,Explosives,0.0,0.0
70670,2000,8,7,West Bengal,Unknown,Educational Institution,Unknown,0.0,2.0
70692,2000,7,12,Jammu and Kashmir,Armed Assault,Religious Figures/Institutions,Firearms,0.0,3.0
70697,2000,7,13,Jharkhand,Armed Assault,Private Citizens & Property,Firearms,0.0,4.0
70698,2000,7,13,Assam,Bombing/Explosion,Business,Explosives,0.0,0.0
70712,2000,7,16,Assam,Armed Assault,Private Citizens & Property,Melee,1.0,5.0
70715,2000,7,16,Assam,Armed Assault,Private Citizens & Property,Melee,0.0,5.0
70729,2000,7,19,Assam,Armed Assault,Private Citizens & Property,Melee,3.0,6.0
70752,2000,7,24,Punjab,Bombing/Explosion,Transportation,Explosives,20.0,7.0
70756,2000,7,24,Jammu and Kashmir,Assassination,Government (General),Firearms,0.0,1.0
70777,2000,7,30,Assam,Bombing/Explosion,Transportation,Explosives,0.0,0.0
70778,2000,7,30,Jammu and Kashmir,Bombing/Explosion,Tourists,Explosives,5.0,1.0
70779,2000,7,30,Assam,Bombing/Explosion,Transportation,Explosives,,12.0
70782,2000,7,30,Tamil Nadu,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,0.0,0.0
70787,2000,8,0,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,4.0,0.0
70790,2000,8,1,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,94.0,35.0
70817,2000,8,10,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,18.0,10.0
70828,2000,8,13,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,32.0,4.0
70830,2000,8,13,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,6.0,1.0
70831,2000,8,13,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
70832,2000,8,13,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
70835,2000,8,14,Uttar Pradesh,Bombing/Explosion,Transportation,Explosives,40.0,11.0
70842,2000,8,10,Delhi,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
70850,2000,8,16,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,11.0,0.0
70855,2000,8,17,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,6.0,6.0
70860,2000,8,19,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,1.0,4.0
70867,2000,8,20,Manipur,Armed Assault,Journalists & Media,Firearms,0.0,1.0
70871,2000,8,21,Assam,Assassination,Government (General),Firearms,0.0,1.0
70873,2000,8,22,Assam,Armed Assault,Private Citizens & Property,Firearms,1.0,5.0
70889,2000,8,26,Manipur,Bombing/Explosion,Journalists & Media,Explosives,0.0,0.0
70897,2000,8,27,Tripura,Armed Assault,Religious Figures/Institutions,Firearms,1.0,1.0
70912,2000,9,1,Jammu and Kashmir,Assassination,Religious Figures/Institutions,Explosives,1.0,3.0
70913,2000,9,1,Jammu and Kashmir,Armed Assault,Military,Firearms,2.0,5.0
70914,2000,9,1,Jammu and Kashmir,Armed Assault,Police,Firearms,3.0,1.0
70967,2000,9,8,Jammu and Kashmir,Armed Assault,Government (General),Firearms,0.0,2.0
70976,2000,9,9,Bihar,Armed Assault,Violent Political Party,Incendiary,0.0,6.0
70994,2000,9,12,Jammu and Kashmir,Armed Assault,Military,Firearms,5.0,13.0
71010,2000,9,13,Assam,Armed Assault,Police,Firearms,4.0,10.0
71012,2000,9,13,Jharkhand,Armed Assault,Private Citizens & Property,Firearms,0.0,9.0
71016,2000,9,14,Jammu and Kashmir,Hostage Taking (Kidnapping),Government (General),Firearms,,
71023,2000,9,15,Jammu and Kashmir,Armed Assault,Police,Firearms,1.0,1.0
71024,2000,9,15,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,1.0,1.0
71025,2000,9,15,Jammu and Kashmir,Armed Assault,Police,Explosives,0.0,0.0
71043,2000,9,18,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,3.0,2.0
71047,2000,9,18,Tripura,Bombing/Explosion,Private Citizens & Property,Explosives,15.0,0.0
71076,2000,9,23,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,2.0,5.0
71083,2000,9,24,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,0.0,0.0
71131,2000,9,30,Bihar,Armed Assault,Private Citizens & Property,Firearms,2.0,6.0
71133,2000,9,30,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,0.0,5.0
71177,2000,10,11,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,10.0,0.0
71215,2000,10,0,Bihar,Armed Assault,Private Citizens & Property,Firearms,3.0,5.0
71225,2000,10,18,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,,
71226,2000,10,18,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,,
71227,2000,10,18,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,2.0,0.0
71258,2000,10,21,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,4.0,2.0
71273,2000,10,23,Assam,Armed Assault,Private Citizens & Property,Firearms,4.0,10.0
71274,2000,10,23,Assam,Armed Assault,Private Citizens & Property,Firearms,5.0,4.0
71279,2000,10,23,Maharashtra,Armed Assault,Religious Figures/Institutions,Firearms,4.0,0.0
71289,2000,10,0,Tripura,Bombing/Explosion,Private Citizens & Property,Explosives,7.0,1.0
71295,2000,10,26,Punjab,Bombing/Explosion,Transportation,Explosives,19.0,2.0
71297,2000,10,27,Assam,Armed Assault,Private Citizens & Property,Firearms,3.0,10.0
71298,2000,10,27,Jammu and Kashmir,Facility/Infrastructure Attack,Police,Firearms,,2.0
71318,2000,11,2,Manipur,Armed Assault,Military,Firearms,7.0,10.0
71324,2000,11,3,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,8.0
71341,2000,11,8,Assam,Armed Assault,Private Citizens & Property,Firearms,,10.0
71383,2000,11,15,Tripura,Bombing/Explosion,Private Citizens & Property,Explosives,5.0,3.0
71390,2000,11,16,Assam,Armed Assault,Business,Firearms,0.0,1.0
71395,2000,11,17,Assam,Armed Assault,Private Citizens & Property,Firearms,0.0,6.0
71410,2000,11,19,Tripura,Armed Assault,Private Citizens & Property,Firearms,6.0,7.0
71416,2000,11,21,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,0.0,0.0
71443,2000,11,24,Jammu and Kashmir,Hostage Taking (Kidnapping),Private Citizens & Property,Firearms,0.0,5.0
71444,2000,11,24,Assam,Armed Assault,Private Citizens & Property,Firearms,0.0,8.0
71452,2000,11,25,Assam,Armed Assault,Private Citizens & Property,Firearms,,3.0
71453,2000,11,25,Assam,Armed Assault,Private Citizens & Property,Firearms,1.0,1.0
71485,2000,11,30,Assam,Armed Assault,Business,Firearms,11.0,16.0
71491,2000,12,1,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,12.0,0.0
71492,2000,12,1,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,3.0,0.0
71493,2000,12,1,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
71494,2000,12,1,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
71495,2000,12,1,Jammu and Kashmir,Armed Assault,Government (General),Explosives,2.0,4.0
71498,2000,12,2,Manipur,Hostage Taking (Kidnapping),Religious Figures/Institutions,Firearms,0.0,1.0
71499,2000,12,3,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,2.0,0.0
71517,2000,12,7,Assam,Armed Assault,Business,Firearms,16.0,26.0
71529,2000,12,12,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,0.0,3.0
71534,2000,12,11,Delhi,Bombing/Explosion,Police,Explosives,8.0,1.0
71544,2000,12,13,Jammu and Kashmir,Bombing/Explosion,Government (General),Explosives,15.0,0.0
71561,2000,12,17,Bihar,Armed Assault,Violent Political Party,Firearms,0.0,4.0
71563,2000,12,18,Nagaland,Bombing/Explosion,Private Citizens & Property,Explosives,12.0,4.0
71579,2000,12,22,Delhi,Facility/Infrastructure Attack,Military,Firearms,0.0,3.0
71623,2000,12,25,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,23.0,8.0
71666,2001,1,3,West Bengal,Armed Assault,Government (General),Firearms,15.0,0.0
71670,2001,1,5,Jammu and Kashmir,Armed Assault,Military,Firearms,15.0,9.0
71671,2001,1,5,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,27.0,0.0
71685,2001,1,7,Tripura,Hostage Taking (Kidnapping),Transportation,Firearms,,
71686,2001,1,7,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,26.0,0.0
71690,2001,1,7,Tripura,Hostage Taking (Kidnapping),Business,Firearms,,
71695,2001,1,7,Assam,Armed Assault,Private Citizens & Property,Firearms,7.0,4.0
71697,2001,1,9,Jammu and Kashmir,Bombing/Explosion,Telecommunication,Explosives,,0.0
71698,2001,1,9,Jammu and Kashmir,Assassination,Government (General),Firearms,0.0,0.0
71718,2001,1,14,Jammu and Kashmir,Assassination,Government (General),Explosives,2.0,0.0
71720,2001,1,15,Bihar,Armed Assault,Violent Political Party,Firearms,16.0,7.0
71727,2001,1,16,Jammu and Kashmir,Armed Assault,Airports & Aircraft,Explosives,14.0,11.0
71763,2001,1,21,Jammu and Kashmir,Bombing/Explosion,Transportation,Explosives,22.0,6.0
71764,2001,1,21,Jammu and Kashmir,Bombing/Explosion,Government (General),Explosives,0.0,0.0
71770,2001,1,22,Assam,Armed Assault,Private Citizens & Property,Firearms,2.0,5.0
71785,2001,1,24,Assam,Bombing/Explosion,Private Citizens & Property,Explosives,10.0,2.0
71790,2001,1,26,Uttaranchal,Bombing/Explosion,Transportation,Explosives,0.0,2.0
71830,2001,2,3,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,5.0,6.0
71865,2001,2,9,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Explosives,0.0,15.0
71866,2001,2,9,Jammu and Kashmir,Armed Assault,Police,Explosives,6.0,10.0
71871,2001,2,10,Jammu and Kashmir,Armed Assault,Government (General),Firearms,2.0,0.0
71893,2001,2,14,Jammu and Kashmir,Bombing/Explosion,Government (General),Explosives,4.0,0.0
71916,2001,2,19,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,3.0,1.0
71920,2001,2,20,Jammu and Kashmir,Armed Assault,Government (General),Firearms,0.0,1.0
71921,2001,2,20,Tripura,Assassination,Government (General),Firearms,0.0,1.0
71930,2001,2,22,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
71936,2001,2,23,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,0.0,2.0
71944,2001,2,26,Jammu and Kashmir,Unknown,Government (General),Unknown,0.0,1.0
71962,2001,3,2,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,9.0,16.0
71971,2001,3,3,Tripura,Armed Assault,Military,Firearms,0.0,13.0
71976,2001,3,1,Jammu and Kashmir,Armed Assault,Government (General),Firearms,0.0,1.0
71988,2001,3,5,Jammu and Kashmir,Armed Assault,Military,Firearms,6.0,2.0
71989,2001,3,6,Assam,Armed Assault,Private Citizens & Property,Firearms,0.0,5.0
72031,2001,3,13,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,6.0,0.0
72032,2001,3,13,Manipur,Bombing/Explosion,Private Citizens & Property,Explosives,3.0,3.0
72034,2001,3,13,Jammu and Kashmir,Bombing/Explosion,Transportation,Explosives,2.0,0.0
72054,2001,3,17,Jammu and Kashmir,Assassination,Government (General),Firearms,1.0,1.0
72057,2001,3,18,Assam,Armed Assault,Private Citizens & Property,Firearms,5.0,6.0
72079,2001,3,22,Jammu and Kashmir,Assassination,Government (General),Firearms,0.0,1.0
72087,2001,3,24,Tripura,Unknown,Private Citizens & Property,Unknown,3.0,5.0
72099,2001,3,26,Jammu and Kashmir,Armed Assault,Police,Firearms,5.0,3.0
72119,2001,3,29,Manipur,Bombing/Explosion,Police,Explosives,2.0,3.0
72136,2001,4,3,Jammu and Kashmir,Armed Assault,Military,Firearms,5.0,1.0
72140,2001,4,3,Jammu and Kashmir,Armed Assault,Government (General),Firearms,0.0,1.0
72141,2001,4,4,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,,3.0
72145,2001,4,5,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,3.0,0.0
72148,2001,4,6,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,16.0,0.0
72165,2001,4,10,Delhi,Bombing/Explosion,Government (General),Explosives,0.0,0.0
72176,2001,4,14,Jammu and Kashmir,Armed Assault,Military,Firearms,6.0,4.0
72179,2001,4,14,Bihar,Armed Assault,Private Citizens & Property,Firearms,0.0,13.0
72196,2001,4,19,Bihar,Bombing/Explosion,Private Citizens & Property,Explosives,1.0,3.0
72199,2001,4,20,Andhra Pradesh,Bombing/Explosion,Police,Explosives,2.0,4.0
72210,2001,4,23,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,4.0,0.0
72213,2001,4,23,Bihar,Bombing/Explosion,Government (General),Explosives,6.0,2.0
72215,2001,4,23,Bihar,Bombing/Explosion,Government (General),Explosives,2.0,0.0
72216,2001,4,24,Jammu and Kashmir,Armed Assault,Military,Firearms,3.0,1.0
72222,2001,4,26,Tripura,Armed Assault,Military,Firearms,3.0,9.0
72223,2001,4,26,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,22.0,2.0
72235,2001,4,29,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,5.0,5.0
72255,2001,5,5,Bihar,Bombing/Explosion,Religious Figures/Institutions,Explosives,0.0,0.0
72264,2001,5,9,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,,8.0
72265,2001,5,9,Delhi,Bombing/Explosion,Military,Explosives,1.0,0.0
72268,2001,5,10,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
72269,2001,5,10,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Melee,3.0,8.0
72303,2001,5,25,Jammu and Kashmir,Bombing/Explosion,Police,Explosives,2.0,5.0
72312,2001,5,28,Uttar Pradesh,Bombing/Explosion,Religious Figures/Institutions,Explosives,5.0,0.0
72313,2001,5,28,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,7.0,2.0
72314,2001,5,28,Jammu and Kashmir,Bombing/Explosion,Government (General),Explosives,0.0,0.0
72317,2001,5,29,Jammu and Kashmir,Assassination,Educational Institution,Explosives,4.0,0.0
72318,2001,5,29,Jammu and Kashmir,Bombing/Explosion,Religious Figures/Institutions,Explosives,0.0,0.0
72342,2001,6,2,Jammu and Kashmir,Bombing/Explosion,Military,Explosives,32.0,2.0
72348,2001,6,3,Assam,Armed Assault,Private Citizens & Property,Firearms,,10.0
72351,2001,6,6,Jammu and Kashmir,Armed Assault,Police,Firearms,0.0,2.0
72355,2001,6,7,Assam,Armed Assault,Police,Firearms,12.0,0.0
72358,2001,6,8,Jammu and Kashmir,Bombing/Explosion,Religious Figures/Institutions,Explosives,50.0,4.0
72378,2001,6,15,Andhra Pradesh,Armed Assault,Terrorists/Non-State Militia,Firearms,0.0,10.0
72398,2001,6,25,Jammu and Kashmir,Bombing/Explosion,Transportation,Explosives,40.0,0.0
72403,2001,6,26,Jammu and Kashmir,Assassination,Government (General),Firearms,3.0,2.0
72408,2001,6,27,Jammu and Kashmir,Assassination,Government (General),Firearms,0.0,1.0
72465,2001,7,21,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,14.0,13.0
72466,2001,7,21,Jammu and Kashmir,Bombing/Explosion,Private Citizens & Property,Explosives,9.0,0.0
72468,2001,7,22,Jammu and Kashmir,Armed Assault,Private Citizens & Property,Firearms,5.0,15.0
72493,2001,7,29,Andhra Pradesh,Armed Assault,Police,Firearms,4.0,3.0
